_id,ลำดับ,รายละเอียด,สำนักงานเขต,สน.พื้นที่,พิกัด,พื้นที่ความรับผิดชอบ
35,35,ถนนสุขสวัสดิ์ (บริเวณทางขึ้นลงทางพิเศษเฉลิมมหานคร),ราษฎร์บูรณะ,ราษฎร์บูรณะ,"13.671470, 100.508850",กรมทางหลวง
36,36,ถนนพุทธบูชา ซอย 36 - ซอย 37/1,ทุ่งครุ,ราษฎร์บูรณะ,"13.650779, 100.479110",กรุงเทพมหานคร
37,37,แยกประชาสงเคราะห์ (ถนนดินแดง ตัดถนนประชาสงเคราะห์),ดินแดง,ดินแดง,"13.760502, 100.554892",กรุงเทพมหานคร
38,38,ถนนบางขุนเทียน-ชายทะเล บริเวณข้ามคลองบางหญ้า (ระหว่างเทียนทะเล 26-28),บางขุนเทียน,เทียนทะเล,"13.605280, 100.434825",กรุงเทพมหานคร
39,39,ถนนลาซาล (สุขุมวิท 105) ตัดถนนลาซาล 21 และถนนลาซาล 23,บางนา,บางนา,"13.663846, 100.613208",กรุงเทพมหานคร
40,40,แยกถนนประเสริฐมนูกิจ ตัดถนนนวมินทร์,บึงกุ่ม,"โคกคราม,บึงกุ่ม","13.809820, 100.650145",กรมทางหลวง
41,41,ถนนพระราม 2 ซอย 69,บางขุนเทียน,ท่าข้าม,"13.648637, 100.419497",กรมทางหลวง
42,42,ถนนประชาธิปก หน้าโรงเรียนศึกษานารี (ถนนอรุณอัมรินทร์ ตัดถนนสมเด็จเจ้าพระยาตัดถนนประชาธิปก),ธนบุรี,บุปผาราม,"13.734267, 100.495732",กรุงเทพมหานคร
43,43,แยกถนนประเสริฐมนูกิจ ตัดถนนนวมินทร์-รามอินทรา,บึงกุ่ม,โคกคราม,"13.815742, 100.642370",กรมทางหลวง
44,44,ถนนบางบอน 1 ซอย 9 ถึง ซอย 12,บางบอน,บางขุนเทียน,"13.679318, 100.424169",กรุงเทพมหานคร
45,45,ถนนประชาอุทิศ ซอย 61 ตลาดทุ่งครุ,ทุ่งครุ,ราษฎร์บูรณะ,"13.644589, 100.498992",กรุงเทพมหานคร
46,46,ถนนเอกชัย ซอย 50 – ซอย 64,บางบอน,บางขุนเทียน,"13.680191, 100.436887",กรุงเทพมหานคร
47,47,ถนนกาญจนาภิเษก ช่วงเพชรเกษม - กัลปพฤกษ์ (ใกล้โรงพยาบาลสัตว์มิราเคิล),บางแค,เพชรเกษม,"13.697011, 100.407082",กรมทางหลวง
48,48,แยกประชาอุทิศ (ถนนเทียมร่วมมิตรตัดถนนประชาอุทิศ),ห้วยขวาง,ห้วยขวาง,"13.769775, 100.586502",กรุงเทพมหานคร
49,49,ถนนเอกชัย ซอย 66/6 - 76,บางบอน,บางขุนเทียน,"13.668854, 100.416215",กรุงเทพมหานคร
50,50,ถนนประชาอุทิศ ซอย 1 ถึงประชาอุทิศ ซอย 17,ราษฎร์บูรณะ,ราษฎร์บูรณะ,"13.666274, 100.504160",กรุงเทพมหานคร
51,51,ถนนสะแกงาม ปากซอยสะแกงาม 32 - 52,บางขุนเทียน,"แสมดำ,ท่าข้าม","13.633858, 100.425353",กรุงเทพมหานคร
52,52,ถนนรามอินทรา จุดตัดกับวงแหวนรอบนอก (ถนนกาญจนาภิเษก),คันนายาว,"คันนายาว,โคกคราม","13.827074, 100.674311",กรมทางหลวง
53,53,ถนนอิสรภาพ บริเวณหน้ากองบัญชาการกองทัพเรือ,บางกอกน้อย,บางกอกน้อย,"13.748534, 100.479185",กรุงเทพมหานคร
54,54,แยกรัชดา-ราชพฤกษ์,ธนบุรี,"ตลาดพลู,บุคคโล","13.715285, 100.478380",กรุงเทพมหานคร
55,55,สี่แยกบางบอน 5 - เอกชัย 131,บางบอน,บางบอน,"13.638519, 100.371950",กรมทางหลวง
56,56,ถนนพหลโยธิน ตัดซอยพหลโยธิน7 (ซอยอารีย์),พญาไท,บางซื่อ,"13.780866, 100.544989",กรุงเทพมหานคร
57,57,ซอยสุขสวัสดิ์ 26 ตัดซอยสุขสวัสดิ์ 30,ราษฎร์บูรณะ,ราษฎร์บูรณะ,"13.676190, 100.493054",กรุงเทพมหานคร
58,58,ถนนประชาอุทิศ บริเวณประชาอุทิศ ซอย 72,ทุ่งครุ,ทุ่งครุ,"13.630385, 100.503996",กรุงเทพมหานคร
59,59,ถนนนวลจันทร์ บริเวณถนนนวลจันทร์ซอย 26 - 44,บึงกุ่ม,โคกคราม,"13.826473, 100.640620",กรุงเทพมหานคร
60,60,แยกถนนเจ้าคุณทหาร ตัดถนนฉลองกรุง,ลาดกระบัง,ฉลองกรุง,"13.750510, 100.794350",กรุงเทพมหานคร
61,61,ประชาอุทิศ 90 (ถนนประชาอุทิศ),ทุ่งครุ,ทุ่งครุ,"13.611288, 100.510659",กรุงเทพมหานคร
62,62,ถนนเพชรเกษม 73/2 - เพชรเกษม 77,หนองแขม,"หนองค้างพลู,หนองแขม","13.706937, 100.361531",กรุงเทพมหานคร
63,63,ถนนเอกชัย ตัดถนนกำนันแม้น (แยกวัดสิงห์),จอมทอง,บางขุนเทียน,"13.685003, 100.445458",กรุงเทพมหานคร
64,64,ถนนประชาอุทิศ 33 และประชาอุทิศ 37,ราษฎร์บูรณะ,ราษฎร์บูรณะ,"13.656951, 100.499418",กรุงเทพมหานคร
65,65,ถนนบรมราชชนนี บริเวณหน้าร้านบุญถาวร และบรมราชชนนี 70/1,ทวีวัฒนา,ธรรมศาลา,"13.786945, 100.371777",กรุงเทพมหานคร
66,66,ถนนพระราม 2 ตัดถนนสุขสวัสดิ์,จอมทอง,"บางมด,บุคคโล,ราษฎร์บูรณะ","13.684563, 100.488400",กรมทางหลวง
67,67,แยกซอยบางกระดี่ 35 แยก 1,บางขุนเทียน,แสมดำ,"13.613882, 100.405685",กรุงเทพมหานคร
68,68,สี่แยกรัชโยธิน (ถ.รัชดาภิเษก - ถ.พหลโยธิน),จตุจักร,พหลโยธิน,"13.827062, 100.568100",กรุงเทพมหานคร
69,69,ถนนราชพฤกษ์ ตัดถนนกัลปพฤกษ์,จอมทอง,บางขุนเทียน,"13.712767, 100.459998",กรมทางหลวงชนบท
70,70,ถนนเฉลิมพระเกียรติ ร.9 (หน้าสวนหลวง ร.9),ประเวศ,ประเวศ,"13.688149, 100.657982",กรุงเทพมหานคร
71,71,ถนนบางบอน 3 ตัดถนนเอกชัย,บางบอน,บางบอน,"13.650316, 100.386696",กรมทางหลวงชนบท
