SchoolName,YearTerm,SType,Level,Total
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M2,127
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M3,116
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M4,94
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M5,96
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M6,133
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P2,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P3,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P4,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P5,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P6,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M1,108
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M2,100
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M3,85
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M4,100
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M5,85
